,zn,E_HFB,E_PNP,E_PNPAMP
297,"[42, 36]",603.1026032,604.44888343,607.03948892
298,"[54, 80]",1121.63347529,1123.14146735,1125.44525124
299,"[96, 174]",1907.54307831,1909.3062244,1911.76748949
300,"[78, 146]",1634.03851302,1635.81970975,1638.16071086
301,"[46, 54]",855.31013431,856.3783792,858.18942638
302,"[60, 140]",1319.29587941,1320.9090663,1323.32441415
303,"[48, 92]",1079.92247342,1081.0114616,1083.30025579
304,"[50, 56]",893.3080928,894.04040037,896.82316405
305,"[72, 138]",1535.70342272,1537.24903006,1539.49077501
306,"[58, 98]",1244.70028349,1245.76404735,1248.56618041
307,"[38, 74]",864.24440588,865.19414006,868.0321172
308,"[78, 182]",1660.33704036,1662.01013917,1663.80619069
309,"[82, 158]",1709.5615157,1711.55343121,1714.02021499
310,"[28, 30]",504.34291898,504.50946469,508.25088688
311,"[52, 78]",1090.53198524,1091.76651475,1093.95756957
312,"[72, 114]",1464.45483816,1465.50172368,1468.81579787
313,"[86, 110]",1499.30472705,1500.55511459,1503.40570774
314,"[76, 128]",1569.80074394,1571.34856643,1573.14295849
315,"[100, 198]",1993.01685374,1994.77160095,1996.95010581
316,"[88, 116]",1556.97028428,1558.57364624,1561.06333859
317,"[100, 172]",1935.78843273,1937.71387082,1939.98078842
318,"[82, 118]",1563.30923768,1563.73800018,1566.41038099
319,"[64, 120]",1387.1493125,1389.03169905,1391.76322962
320,"[36, 66]",809.74201093,811.3010062,814.04726466
321,"[70, 126]",1491.99881727,1493.46901251,1495.36901482
322,"[48, 56]",884.67913293,885.5918911,887.84517129
323,"[96, 186]",1937.01717143,1938.6511962,1940.25242617
324,"[56, 114]",1245.98219019,1247.47060461,1249.89134289
325,"[28, 62]",644.86582644,645.86554597,648.20528499
326,"[92, 134]",1702.7559434,1704.1518066,1706.51297297
327,"[92, 130]",1676.0961177,1677.73593309,1680.08794907
328,"[64, 126]",1404.1040723,1405.53606718,1407.50778462
329,"[84, 138]",1678.46420488,1679.07887283,1681.3209397
330,"[70, 114]",1446.21055539,1446.67612695,1450.01548349
331,"[66, 108]",1377.36708681,1378.6786895,1381.69412971
332,"[84, 130]",1648.70738517,1649.66719847,1651.13074412
333,"[16, 26]",341.33604053,341.77625176,344.93610336
334,"[36, 74]",822.48258277,823.9339544,826.71947372
335,"[34, 34]",573.44084167,573.44089205,576.69586886
336,"[26, 24]",417.24691632,417.80579232,420.25078355
337,"[98, 182]",1951.29483767,1953.05456512,1955.15299436
338,"[60, 142]",1317.50203631,1319.10349271,1321.51596457
339,"[18, 34]",402.28703997,403.35160973,405.67628029
340,"[84, 160]",1739.23465962,1741.05822671,1743.53537454
341,"[94, 166]",1864.4003724,1866.09946525,1868.87856432
342,"[74, 82]",1217.31284323,1218.67232343,1220.75970665
343,"[70, 174]",1492.14955023,1493.79350884,1496.29536188
344,"[86, 156]",1754.40110847,1756.04946565,1758.51363863
345,"[56, 128]",1251.81394182,1253.38205802,1255.52592731
346,"[94, 160]",1845.15040764,1846.76199043,1849.2760903
347,"[108, 152]",1866.94335722,1867.64387732,1870.36895266
348,"[74, 86]",1257.08501314,1258.71701105,1260.9516195
349,"[72, 92]",1310.2525025,1311.68374132,1314.35906284
350,"[96, 134]",1713.52763361,1715.0017399,1717.65348048
351,"[50, 84]",1104.08725586,1104.2904061,1105.95992695
352,"[76, 162]",1622.48327569,1623.79231534,1626.71963818
353,"[38, 36]",605.54437476,606.64787603,609.79612672
